name,url_key,path,active,is_anchor,include_in_menu,position,display_mode,custom_layout_update
Men,men,Demo Categories,1,0,1,3,PAGE,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>"
Tops,tops-men,Demo Categories/Men,1,1,1,,,
Bottoms,bottoms-men,Demo Categories/Men,1,1,1,,,
Jackets,jackets-men,Demo Categories/Men/Tops,1,1,1,,,
"Hoodies & Sweatshirts",hoodies-and-sweatshirts-men,Demo Categories/Men/Tops,1,1,1,,,
Tees,tees-men,Demo Categories/Men/Tops,1,1,1,,,
Tanks,tanks-men,Demo Categories/Men/Tops,1,1,1,,,
Pants,pants-men,Demo Categories/Men/Bottoms,1,1,1,,,
Shorts,shorts-men,Demo Categories/Men/Bottoms,1,1,1,,,
Women,women,Demo Categories,1,0,1,2,PAGE,"<referenceContainer name=""catalog.leftnav"" remove=""true""/>"
Tops,tops-women,Demo Categories/Women,1,1,1,,,
Bottoms,bottoms-women,Demo Categories/Women,1,1,1,,,
Jackets,jackets-women,Demo Categories/Women/Tops,1,1,1,,,
"Hoodies & Sweatshirts",hoodies-and-sweatshirts-women,Demo Categories/Women/Tops,1,1,1,,,
Tees,tees-women,Demo Categories/Women/Tops,1,1,1,,,
"Bras & Tanks",tanks-women,Demo Categories/Women/Tops,1,1,1,,,
Pants,pants-women,Demo Categories/Women/Bottoms,1,1,1,,,
Shorts,shorts-women,Demo Categories/Women/Bottoms,1,1,1,,,
Promotions,promotions,Demo Categories,0,0,0,,PAGE,
"Women Sale",women-sale,Demo Categories/Promotions,1,1,0,,,
"Men Sale",men-sale,Demo Categories/Promotions,1,1,0,,,
"Pants",pants-all,Demo Categories/Promotions,1,1,0,,,
"Tees",tees-all,Demo Categories/Promotions,1,1,0,,,
"Collections",collections,Demo Categories,0,0,0,,PAGE,
"New Luma Yoga Collection",yoga-new,Demo Categories/Collections,1,1,0,,,
"Erin Recommends",erin-recommends,Demo Categories/Collections,1,1,0,,,
"Performance Fabrics",performance-fabrics,Demo Categories/Collections,1,1,0,,,
"Eco Friendly",eco-friendly,Demo Categories/Collections,1,1,0,,,
